开放粤语例句词库

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［粤语例句］*［国语释义］

 揸住手噉教佢	手把手地教他
人人都睇我唔起	人人都看不起我

人人都知，你仲懵闭闭	大家都知道了，你还糊里糊涂的

人人都话你好	大家都说你好

人人都话佢好人事	人人都说他心肠好

人哋两个人拍拖你仲跟埋去？你咁唔通气噶？	人家俩人谈恋爱你还跟着去？你怎么这么不识趣？

人哋两个去街你又跟埋去，咁唔通气噶	人家俩人上街你也跟着去，这么不知趣的

人哋两公婆嘅事，你哋班师奶理咁多做乜？	那帮家庭妇女走在一起最后说长道短？

人哋唔话你就算畀面噶喇	人家不说你就算赏脸了

人哋问你呢样，你又讲嗰样，真系唔挐耕	人家问你这样，你又说那样，真是牛头不对马嘴

人哋嘅嘢要更加儆锡先得	人家的东西要更加爱惜才行

人哋好地地坐喺度，你嫽佢做乜！	人家好好的坐在那儿，你去惹他干什么！

人哋写字你唔好喺度喐喐贡	人家写字你不要在这儿动个不停

人哋就系勤力	人家就是用功

人哋几次请你都唔去，太倔情喇啩	人家几次请你都不去，太无情了吧？

人哋会安排，唔使你咁巴闭	人家会安排，用不着你去多管闲事

人哋讲完你至讲都未迟，咁谰叻做乜	人家说完你再说也不晚，干嘛这么好表现自己

人哋都唔睬佢，佢仲喺度赖死！	人家都不理他，他还在这里赖着不走！

人哋都未休息你就去坐，真系电灯胆唔通气咯	人家还没休息你就去坐，真是不懂人情

人哋都未讲完，你就乱插嘴，咁叻唔切做乜！	人家还没有讲完你就乱插嘴，这么好表现干嘛！

人哋开会，你哋成日嘈，太唔通气喇	人家开会，你们整天吵，太不知趣了

人唔知走去边	那个人不知道跑到哪儿去

人噉做佢噉做	人家这样做他也这样做

人嚟齐咁滞噶喇	人差不多来齐了

人老咗做嘢系论尽啲	人老了，干活是不太利索了

人老咗冇记性啰，你讲过乜嘢我都唔记得	人老记性差了，你说过什么我都忘了

人老啦，做些少嘢都手揗脚震噉	人老了，干一点活儿就手脚发抖了

人都唔齐，打乜鬼麻将呀！	人都不齐，打甚么麻将呀！

今个月啲生意耷晒	这个月的生意大滑坡

今匀头次见面，就咁空手掉空臂去咩？	这是头回见面儿，就这么空着手去吗？

今年嘅经费要cut一半	今年的经费要削减一半儿

今年嘅预算咳咗好多	今年的财政预算削减了很多

今年收成比上年仲好咗	今年收成比去年更加好了

今年热天你哋仲有房租呀？	今年夏天你们还有房间出租吗？

今年过年，人人都着得好光鲜	今年过年，大家都穿得漂漂亮亮的了

今日一定要讲清楚，唔系乜都假	今天一定要讲清楚，要不然说啥也不行

今日乜咁错荡呀？	今天什么风把你吹到这里来啦？

今日系咁先喇	今天就到此为止了

今日系噉先喇	今天就到此为止了

今日系礼拜五，你唔觉得开心咩？	今天是星期五，你不觉得高兴吗？

今日做咗好多事呀	今天做了很多事情呢

今日冇人嚟到	今天没有人来过

今日到而家都冇食过嘢	今天到现在都没吃过东西

今日去食斋好唔好？	今天去吃素菜好不好？

今日同朋友去出街，畀人打咗荷包，真系黑过墨斗	今天跟朋友去逛街，钱包被人偷走，真是倒霉透了

今日呢间铺头好旺	今天这铺子的生意真好

今日呢间铺头好旺	今天这铺子的买卖真好

今日周围都湿凹凹	今天到处都湿漉漉的

今日咁焗，一定会落雨	今天这样闷，一定会下雨

今日唔系我生日啰？	今天不就是我生日吗？

今日嘅例汤系乜嘢？	今天你们卖的汤是什么汤？

今日嘅汇率系几多？	今天的汇率是多少？

今日嘅报纸我擸咗一眼，未详细睇	今天的报纸我粗粗地看了一下，没有详细看

今日嚟嘅人真系少得凄凉	今天来的人真是少得要命

今日好冻	今天很冷

今日好好天	今天天很好

今日好闷呀！	今天很无聊啊

今日好焗，透气都唔顺	今天天气很闷热，气都喘不过来

今日实落雨嘅	今天肯定下雨

今日屙咗七次	今天拉了七次

今日得闲，我哋去饮早茶啦	今天有空，我们去喝早茶吧

今日我一条气走咗两堂路	今天我一口气跑了十公里路

今日我做东，唔使同我悭噶！	今天我请客，不用给我省钱啊！

今日我屙咗七八次	今天我拉了七八次肚子

今日我当日更	今天我上白班

今日我睇数	今天我请客

今日我睇数，大家去食韩国餐	今天我请客，大家去吃韩国菜

今日打风，返唔到学	今天刮台风，上不了学

今日晨早起身去屙殊殊，之后就训唔翻喇	今天早上起来尿尿，以后就睡不着觉了

今日最高气温系几多度？	今天最高气温是多少度？

今日有个鬼佬用好标准嘅广东话同我打招呼	今天有个老外用了很标准的粤语跟我打招呼

今日有冇派讲义呀？	今天发讲义没有？

今日气温介乎十五度至十六度之间	今天气温在15度和16度之间

今日港纸同美金嘅兑换率系几多？	今天港币和美元的兑换率是多少？

今日凑我堂妹凑咗成晏昼	今天照顾我堂妹照顾了整个下午

今日焫咗两个土匪	今天枪毙了两个土匪

今日热到冇谱	今天热得够戗

今日热得真凄凉	今天热得很厉害

今日玩到够晒本啦	今天可玩了个够

今日玩咗一日，真系爽	今天玩了一天，真过瘾

今日略略冻过琴日	今天比昨天稍冷一点

今日略略冻过琴日	今天比昨天稍稍冷点儿

今日真系冻	今天真冷

今日真系惨，连续企咗五个钟头	今天真够可怜，连着站了五个小时

今日真系齐人	今天人真齐

今日翻学图书馆闩咗	今天上学图书馆关门了

今日趁圩好逼人	今天赶集很拥挤

今日迟咗㖞	今天迟到了啊

今日邮局嘅人真系好多呀！	邮局今天人真多！

今日雨粉粉噉，唔晒得被咯	今天细雨纷飞的，不能晒被子了

今日高兴大家饮傻仔水	今天高兴大家喝酒

今日点解见唔到你嘅？	今天怎么没看见你？

今时唔同往日，点可以用旧眼光睇人！	今非昔比了，怎么可以用旧眼光看人！

今晚一定要早啲瞓！	今天晚上一定要早点睡

今晚仲要开OT，冇时间啦	今晚还要加班，没有时间了

今晚佢戙起床版都抄唔晒	今晚他开夜车不睡觉也抄不完

今晚十二点交更	今晚十二点交接班

今晚去睇大戏	今晚去看粤剧

今晚唔得闲，我开O.T.	今天晚上没空，我得加班

今晚嘅演唱会佢唱得好落力	今晚的演唱会他唱得挺卖力的

今晚嘅演唱会佢唱得好落力	今晚的演唱会他唱得挺卖力的

今晚得到很多善长仁翁，大破悭囊，筹款数字节节上升！	今天晚上有很多好心人慷慨捐献，筹款数目不断上升！

今晚我唔喺屋企食	今晚我不在家吃

今晚我唔喺屋企食，唔使预我	今晚我不在家吃，不用预备我的晚餐

今晚我瞓唔着呀	今天晚上我睡不着了

今晚打电话畀你吖	今晚给你打电话

今晚挨眼瞓都做唔完	今晚熬夜也干不完

今次亚爸都畀你考起啦	这回爸爸都被你考倒了

今次佢起步犯规，要再跑过	这次他起跑犯规，要重新再跑一次

今次个贼实走唔甩嘞	这次那个小偷肯定跑不掉了

今次全靠你至搅得惦	这回真是全靠你了

今次去见边个？	这次去见谁？

今次又衰咗	这次又倒了霉

今次又衰咗	这次又失败了

今次实死啦	这次死定了

今次我真系扯晒火	这次我真的冒火了

今次畀人呃咗，不过除笨有精，佢识咗个女朋友	这次让人给骗了，不过尚有得益之处，交了个女朋友

今次真系唔该晒你	这回真是太谢谢您了

今次真系搅出个大头佛	这次把事情弄糟了

今次真系畀佢落晒面啰	这次可真叫他丢尽了脸了

今次老细都得罪埋	这次连老板也得罪了

今次衰咗嘞！	这次坏了

今餐啱啱使咗一张嘢	这一顿饭刚好花了一块钱

介唔介意阻你少少时间？	介不介意我打扰你一会儿？

介绍嚟识吓吖	介绍一下给我认识

仔大仔世界，你唔理得咁多啰	儿大不由娘，你也管不了那么多

仔大仔世界，你唔理得咁多啰	儿大不由娘，你也管不了那么多

他特登请个外来师傅来起屋，唔通真系本地姜唔辣？	他特意请了一个外地师傅来盖房子，莫非真是远来的和尚会念经？

他行得好快	他走得很快

以前嘅嘢唔好摆喺心度	以前的事不要放在心上

以前有过拗撬都要合作	以前有过矛盾的也要合作

以后嘅事，请你执生	以后的事，你看着办吧

以后要畀心机呀	以后要努力了

仲系以前噉样	还是以前那样

仲系有问题	还是有问题

仲唔快啲，够晒钟嘞	还不快点儿，早到时间了

仲唔知道我系边个？	还不知道我是谁？

仲唔行？	还不走？

仲想点呀？	还想怎样？

仲有冇其他事？	还有其他事情吗？

仲有冇第二只花款呀？	还有没有别的款式？

仲有冇第二只花款呀？攞嚟睇吓	还有没有别的款式？拿来看看

仲有冇质地更加好噶？	还有质量更好些的吗？

仲有半个钟头先落堂	还有半个小时才下课

仲有呢	还有呢

仲有咩好介绍？	还有什么好介绍？

仲有啲嘢要做	还有些事要做

仲有排呀	还有很长时间

仲未够钟	还未到点

仲未玩够	还不尽兴

仲未谂定呀	还没考虑呢

仲未谂定呀，你有乜嘢好嘅意见呢？	还没考虑呢，你有什么好建议吗？

仲标准过我	比我还标准

仲畀十个嚟就够数喇	再拿十个来就够了

仲等乜嘢？	还等什么？

仲要人哋同你执手尾？	还要别人帮你收拾残局？

仲要晨早流流起身翻工	还要大清早的起床上班

仲觉觉猪吖	还睡懒觉哇

仲讲乜鬼吖！	还说什么！

仲讲咁大声！	还说话那么大声！

仲食，唔饱咩？	还吃，不饱吗？

件事一啲线索都冇，真系唔知由边度埋手	这事一点线索都没有，不知道从哪儿入手

件事系噉嘅	事情是这样的

件事发生咁突然	事出突然

件事越搅越大	事情越搞越大

件事迫到埋身，我唔出声都唔得	这件事搞到我头上来了，我不开口说话都不行

件冷衫好拮肉	那毛衣挺扎人

件嘢好似烂咗	这个东西好像坏了

件蛋糕畀乌蝇搂过，唔好食！	这块蛋糕让苍蝇爬过，不要吃！

件衫咁老土，佢点会着出嚟吖	这件衣服这么土气，他怎么会穿上身呢

件衫巢孟孟，帮我烫吓喇	这件衣服皱巴巴的，帮我熨一熨吧

件衫几靓㖞，等我入铺头瞄吓先	衣服不错，待我进店里面看看

件衫押入条裤度整齐啲	把上衣掖在裤子里显得整齐点儿

件衫拮肉	這件衣服扎人

件衫湿湆湆噉，快啲换咗佢！	衣服湿淋淋的，快换了！

件衫要二十蚊？食懵咗你	衣服要二十块钱，你疯了

件衫买咗几多银呀？	这件衣服买了多少钱？　

件长袍拖到脚面	长袍子拖曳到脚面

任何佢哋方便嘅时间都得	任何他们方便的时间都可以

任你拣，甜嘅抑或咸噶	随便你挑，甜的或是咸的

任你点都得，佢冇计带嘅	随便你怎么都成，他不会计较的

份内事嚟噶	这是我应该的

份工你做住先，慢慢等机会	这份工作你暂时先做着，慢慢等机会

份稿check咗几次仲有错	这份稿子校对了几次还有错儿

企喺海边吹吓海风，感觉真系爽	站在海边吹吹海风，感觉特痛快

企埋啲！	站远一点！

伙计，睇数吖！	伙计，结帐吧！

伙记，埋单	伙记，结帐

估吓我系边个	猜猜我是谁

估唔到佢唱呢首歌咁得	想不到她唱这首歌这么行

估唔到会喺度撞翻嗰个衰人	没想到会在这里碰见那个混蛋

似唔似呀？	像不像啊？

但系全部解决晒	但是都解决了

但系睇落你哋嘅价钱系唔系太高啦	但是你看你们的价格是不是太高了

但凡十八岁以下，都唔准参加	凡是十八岁一下的都不准参加

但而家旅游业面对内忧外患，点知好景可以维持得几耐	但现在旅游业面对内忧外患，谁知道好景可以维持多久呢

住七楼上落唔方便	住七楼上下不方便

你一个月可唔可以起到货？	你一个月能不能完工？

你一嚟就搅到我啲嘢乱晒龙！	你一来就把我的东西搞得乱糟糟的！

你一早就知噶喇？	你早就知道了？

你之前有冇坐过呢班机呀？	你以前坐过这班机吗？

你乜咁番鬼噶？	你怎么这么蛮不讲理？

你乜谁呀？	你是谁？

你乜都会做，真抵手	你什么都会做，真能干

你乱发表意见，赚人家笑话你	你乱发表意见，只能让人家笑话你

你乱讲就真！	你乱说才对！

你亚爸喺唔喺度呀？	你爸爸在家吗？

你今日唔使翻工呀？	你今天不用上班吗？

你今日嘅日程安排系噉	你今天的日程安排是这样

你今日嚟得咁早晨呀！	你今天来得这么早！

你今日应该几赶时间，因为你着咗鸳鸯袜	你今天应该很赶时间，因为您穿错袜子了

你今日有冇睇过公司嘅股票价格？	你今天看过公司的股票价格吗？

你今日玩得高唔高兴呀？	你今天玩得高兴吗？

你今日买嘢用咗几多钱？	你今天买东西花了多少钱？

你今日迟到，因住老板诈型呀	你今天迟到，小心老板给你脸色看

你今次又食柠檬呀？	你这回又碰一鼻子灰了？

你今次好彩	你这次走运

你今次玩完喇！	你这回完蛋了！

你今次玩完喇！	你这回没戏了！

你介唔介意我入嚟旁听会议？	如果我进来旁听会议，你介意吗？

你以为你匿喺度就揾唔到你咩？	你以为你躲在这里就找不到你了？

你以为咁着数咩	你以为有便宜可佔哪

你仲傻傻更更喺度等，人哋一早走咗啦	你还傻乎乎的在这儿等，人家早走啦

你仲唔出声吖！	早说嘛！

你仲唔走？	你还不走？

你仲唔起床，就迟到噶喇	你还不起床，就会迟到了

你仲想好似旧时咁虾人呀，夜啲啦！	你还想像以前那么欺负人吗，妄想！

你仲想点？	你还想怎么样？

你仲戙喺嗰度做乜嘢呀？	你还站在那里干什么啊？

你仲有乜嘢意见呀？	你还有什么意见？

你仲有乜嘢说话好讲？	你还有什么话好说？

你仲有冇房出租呀？	你还有房子出租吗？

你仲有咩问题？	你还有什么问题？

你仲用呢只手机，真系老土！	你还用这种手提电话，真是土气！

你件衫好似长噉啲	你的衣服似乎长了一点

你件衫真系有型有款	你的衣服穿起来真是样儿

你份人咁冲动	你为人冲动

你伯爷喺唔喺屋企？	你父亲在家吗？

你估你好叻衙！	你以为你很行吗！

你估佢今天会唔会嚟吖喇？	你猜他今天会不会来？

你估好容易噶？	你以为很容易的吗？

你估我唔知呀？	你以为我不知道？

你估我唔肚饿嘅咩？	你以为我不饿吗？

你估我有几岁？	你以为我几岁？

你估我惊你呀？因住我告到你甩裤呀！	你以为我怕你了？小心我起诉你，告得你不得安宁！

你住得习唔习惯呀？	你住得习惯不习惯？

你住边度？	你住哪儿？

你使唔使我将呢啲文件派落去？	你要我把这些文件分发出去吗？

你系咪五行欠打？	你是不是欠打？

你系咪痴咗线？	你发什么神经？

你系唔系仲有事要去做？	你好像还有事要办，是吗？

你系唔系再约个时间，今日稍为晏啲见面？	你要不要安排个时间，今天晚一点见面？

你系唔系哑咗？	你是不是哑了？

你系唔系学生？	你是不是学生？

你系唔系润我？	你是不是挖苦我？

你系唔系虾我唔识嘢呀？	你是不是欺负我不懂？

你系唔系路呀？	你是不是有问题？

你系大个仔嚟喇，唔好叫亚妈咁霎气啦！	你已经长大了，别让妈妈为你那么操心啦！

你系屋主吗？	你是房东吗？

你系几时嚟噶？	你是什么时候来的？

你系度扮嘢	你在说大话

你系老细，呢啲嘢叫马仔做咪得啰	你是老板，这些事叫手下去做嘛

你系边位呀？	你是哪一位？

你系边个？	你是谁？

你系边家店买嘢？	你都在哪家商店购物？

你个人好迆	你的为人很不认真

你个人成日大模斯样，真系得人憎！	你这个人整天大模大样的，真令人讨厌！

你个仔改名未呀？	你儿子起名了没有？

你个僆琼吖，又几叻嗰㖞	你这小家伙，还挺聪明的

你个名点样写	你的名字怎么写？

你个名点样写？	你的名字怎么写？

你个女仲高过你	你女儿比你还高

你个肚腩都几大	你肚子上的肉挺厚的

你个荷包有乜嘢记认呀	你的钱包有什么记号呀？

你个荷包有乜嘢记认呀？	你的钱包有甚么记号呀？

你个衫袖褦住条线	你的袖子系着一根线

你个衰人系咪嫌命长吖！	你这个坏蛋，是不是活得不耐烦啦！

你个衰仔吖，叫你帮手你就走咗去	你这浑小子，叫你帮个忙你就溜了

你个衰仔，我打死你！	你这兔崽子，我打死你！

你个计划啲董事个个都话好，你攞晒彩啦	你这份计划董事们都说好，你出尽了风头了

你借我钱	你向我借钱

你借钱我	你借钱给我

你做乜嘢最熟行？	你干什么最内行？

